"get_session_storage_size";"GET";"/session/%s/session_storage/size";""
"get_page_source";"GET";"/session/%s/source";""
"set_timeout";"POST";"/session/%s/timeouts";"{ \"type\": %s, \"ms\": %d }"
"set_script_timeout";"POST";"/session/%s/timeouts/async_script";"{ \"ms\": %d }"
"set_implicit_wait";"POST";"/session/%s/timeouts/implicit_wait";"{ \"ms\": %d }"
"get_title";"GET";"/session/%s/title";""
"touch_single_tap";"POST";"/session/%s/touch/click";"{ \"element\": \"%s\" }"
"touch_double_tap";"POST";"/session/%s/touch/doubleclick";"{ \"element\": \"%s\" }"
"touch_down";"POST";"/session/%s/touch/down";"{ \"x\": %d, \"y\": %d }"
"touch_flick";"POST";"/session/%s/touch/flick";"{ \"element\": \"%s\", \"xoffset\": %d, \"yoffset\": %d, \"speed\": %d }"
"touch_flick_anywhere";"POST";"/session/%s/touch/flick";"{ \"xspeed\": %d, \"yspeed\": %d }"
"touch_long_press";"POST";"/session/%s/touch/longclick";"{ \"element\": \"%s\" }"
"touch_move";"POST";"/session/%s/touch/move";"{ \"x\": %d, \"y\": %d }"
"touch_pinch";"POST";"/session/%s/touch/pinch";""
"touch_scroll";"POST";"/session/%s/touch/scroll";"{ \"element\": \"%s\", \"xoffset\": %d, \"yoffset\": %d }"
"touch_up";"POST";"/session/%s/touch/up";"{ \"x\": %d, \"y\": %d }"
"change_url";"POST";"/session/%s/url";"{ \"url\": \"%s\" }"
"get_current_url";"GET";"/session/%s/url";""
"is_browser_visible";"GET";"/session/%s/visible";""
"set_browser_visible";"POST";"/session/%s/visible";""
"close_current_window";"DELETE";"/session/%s/window";""
"switch_to_window";"POST";"/session/%s/window";"{ \"name\": \"%s\" }"
"get_current_window_handle";"GET";"/session/%s/window_handle";""
"get_all_window_handles";"GET";"/session/%s/window_handles";""
"maximize_window";"POST";"/session/%s/window/%s/maximize";""
"get_window_position";"GET";"/session/%s/window/%s/position";""
"set_window_position";"POST";"/session/%s/window/%s/position";"{ \"x\": %d, \"y\": %d }"
"get_window_size";"GET";"/session/%s/window/%s/size";""
"set_window_size";"POST";"/session/%s/window/%s/size";"{ \"width\": %d, \"height\": %d }"
"list_sessions";"GET";"/sessions";""
"get_status";"GET";"/status";""
